,id,name,effect,god,rarity,tribe,mana,attack,health,type,set,In % of Decks,Deck win rate,Unique Deck WR,Tendencia,Vendidos por semana,Variação do preço %,price_ETH_$,price_GODS_$,difference_%
0,12,Sanctify,Give ward to all creatures with strength 2 or less.<br>Draw a card.,light,common,,2,0,0,spell,genesis,0.013000000000000001,0.526,0.527,212,176,0.8519326448440601,0.8037191800000001,0.8057268555000001,0.0024979813222822775
1,13,Charm,"Gain control of target enemy creature for one turn. Give it godblitz. Look at your opponent's hand, select any card and pull it into your hand.",deception,rare,,8,0,0,spell,genesis,0.008,0.513,0.513,-6,54,0.20733594894409,2.01028532,2.0156899368000003,0.0026884824488497844
2,41,Pocket Channeler,Spell boost +2.,magic,common,,5,4,4,creature,genesis,0.001,0.46,0.46,-16,64,0.08180212974548301,0.27448886,0.2760380079,0.005643755087182744
3,42,Dread Pirate,Roar: Give +1/-1 to a creature.,neutral,common,,2,2,2,creature,genesis,0.0,0.465,0.465,-131,58,0.23938620090485,0.36335216,0.36516428130000006,0.004987231395569743
4,43,Simple Satyr,"At the end of your turn, heal your god for 2.",nature,common,mystic,1,1,2,creature,genesis,0.003,0.46799999999999997,0.46799999999999997,34,78,0.16455197334289998,0.30805944,0.30933716060000005,0.004147643065247511
5,44,Unnatural Binding,"Give a creature: ""Burn +2. Whenever this creature attacks, deal 2 damage to its god.""",death,rare,,1,0,0,spell,genesis,0.011000000000000001,0.525,0.525,-15,47,0.092356204986572,0.9715720800000001,0.9792626090000001,0.00791555166961982
6,46,Untold Greed,Destroy target friendly creature.<br>Draw two cards.,death,rare,,1,0,0,spell,genesis,0.13,0.5920000000000001,0.597,-51,54,0.034474492073059,26.04484586,26.125121290400003,0.003082200249197557
7,47,Sacred Lore,Deal 1 damage to your god.<br>Add three random runes to your hand.,death,rare,,3,0,0,spell,genesis,0.013000000000000001,0.5,0.5,57,26,0.26494324207306,2.19393614,2.2000672749000003,0.0027945822069371583
8,48,Ignean Roulette,"Draw three cards, then pull two random cards from your hand onto the bottom of your deck.",deception,common,,1,0,0,spell,genesis,0.0,0.505,0.505,6,58,0.060181617736816,0.28436256,0.2853307947,0.003404930311500975
9,49,The Black Argo,Flank.<br>Roar: Each other friendly Olympian gets +1 strength and flank.,neutral,epic,olympian,5,4,6,creature,genesis,0.0,0.526,0.526,37,12,0.024669528007507,10.50759154,10.5403434279,0.003116973835090657
10,50,Anputian Magus,"Backline.<br>When a friendly creature dies, add a random Rune to your hand.",neutral,rare,anubian,5,2,4,creature,genesis,0.001,0.486,0.486,-39,35,0.10211658477783,2.23935516,2.25983679,0.009146217788874506
11,51,Rebirth Planetar,"At the end of your turn, add a random Aether from your void to your hand.",neutral,common,aether,7,6,7,creature,genesis,0.001,0.525,0.525,2,60,0.15192997455597002,0.39297326000000005,0.3955066382,0.006446693599457469
12,52,Farsight Explorer,"Roar: Replace your hand with copies of ""Voyage to the Farlands.""",neutral,epic,,2,1,5,creature,genesis,0.0,0.45799999999999996,0.45799999999999996,-31,13,0.016166687011719,10.02772972,10.059230511300001,0.0031413682039289088
13,53,Dire Demilich,Leech.<br>Roar: Give deadly to all of your creatures.,death,epic,nether,7,6,6,creature,genesis,0.004,0.49200000000000005,0.49200000000000005,-56,7,0.044795632362366,27.41334068,27.4985529395,0.0031084230300383966
14,55,Boost Walker,Burn 1.<br>Roar: Give another Atlantean twin strike and +2/+2.,neutral,epic,atlantean,4,4,4,creature,genesis,0.0,0.491,0.491,-7,9,0.042953610420226995,41.48731266,41.8565421446,0.008899816857889445
15,56,Pharaoh's Body-Double,Roar: Trigger the afterlife of a friendly Anubian.,light,common,anubian,2,2,1,creature,genesis,0.0,0.308,0.308,35,84,0.49032652378082,0.52725558,0.5299000473000001,0.005015532125805325
16,57,Swelling Boon,"Give a creature: ""At the end of your turn, gain +5, split randomly across strength and health.""",nature,common,,5,0,0,spell,genesis,0.006999999999999999,0.488,0.488,-27,83,0.39760220050812,0.9735468199999999,0.9770802121,0.0036294013060409695
17,58,Nullmaw,"Whenever this creature takes damage, deal 2 damage to your god.",neutral,epic,nether,5,7,6,creature,genesis,0.0,0.49200000000000005,0.49200000000000005,8,16,0.018561720848083,10.29037014,10.322033338,0.0030769736723970154
18,60,Pallbearer,Afterlife: Summon another random creature with afterlife from your void.,death,rare,anubian,3,1,1,creature,genesis,0.006,0.42100000000000004,0.42100000000000004,79,25,-0.026156425476074,2.53556616,2.5485467799,0.005119416761738132
19,61,Spellbound,Target two creatures.<br>They go to sleep.,deception,common,,1,0,0,spell,genesis,0.026000000000000002,0.493,0.493,36,62,0.043661236763,1.25001042,1.2537518191,0.0029930943295657917
20,62,Deathdealt Netherine,Roar: Destroy a creature with health 3 or less.,death,rare,nether,6,5,4,creature,genesis,0.002,0.5720000000000001,0.5720000000000001,-122,43,0.2001576423645,0.74645172,0.7536309295000001,0.009617781442046997
21,63,Uproot,Deal 8 damage to a random enemy creature.<br>Summon a 2/2 Walking Tree for your opponent.,nature,common,,2,0,0,spell,genesis,0.002,0.507,0.507,57,108,0.26625621318817,0.3653269,0.3691066757,0.010346283561380199
22,64,Avatar of Light,Frontline. Protected.<br>Roar: Fully heal all other friendly creatures.,light,legendary,,7,7,7,creature,genesis,0.0,0.467,0.467,34,8,-0.006732702255249,28.54289196,28.797360694600002,0.008915310156960114
23,65,Pickpocket,"Copy the last spell and the last creature your opponent played, and put them into your hand.",deception,common,,4,0,0,spell,genesis,0.005,0.46799999999999997,0.46799999999999997,61,41,0.039749979972839,0.28041308000000004,0.2835707972,0.011260948312396714
24,66,Balance Ethereals,"Roar: If a god is below 16 health, it heals for 4. If they are above 16, it is dealt 4 damage instead.",neutral,rare,aether,6,4,5,creature,genesis,0.0,0.494,0.494,37,31,0.2634152173996,0.9024561799999999,0.9104115067999999,0.008815194550498836
25,67,Golem Centurion,Afterlife: Summon a random legendary creature.,neutral,rare,atlantean,7,5,7,creature,genesis,0.001,0.469,0.469,124,39,0.34254288673401,4.12523186,4.137261323200001,0.002916069595176694
26,68,"Petard ""Elder""",Afterlife: Deal 2 damage to a random enemy creature.,neutral,rare,,3,3,2,creature,genesis,0.0,0.479,0.479,-23,41,0.19693541526794,0.8195171,0.8229044311000001,0.004133325710958456
27,69,Malfunctioning Servitor,Roar: Transform another random creature into a 1/5 or 5/1 Malfunctioning Artifice.,neutral,rare,atlantean,3,3,3,creature,genesis,0.0,0.493,0.493,14,34,-0.070801913738251,0.9715720800000001,0.9792626090000001,0.00791555166961982
28,70,Greed Banestrider,Roar: Deal 3 damage to your god.,death,rare,nether,3,4,4,creature,genesis,0.013000000000000001,0.539,0.539,44,32,0.31174886226653997,3.06874596,3.0968916010000003,0.009171707716073067
29,71,Ragnarok,"Deal 3 damage to each god, and give burn +3 to each creature.",death,rare,,1,0,0,spell,genesis,0.152,0.581,0.585,-38,61,0.061299681663512996,25.36751004,25.446325454600004,0.00310694327018012
