,id,name,effect,god,rarity,tribe,mana,attack,health,type,set,In % of Decks,Deck win rate,Unique Deck WR,Tendencia,Vendidos por semana,Variação do preço %,price_ETH_$,price_GODS_$,difference_%
0,12,Sanctify,Give ward to all creatures with strength 2 or less.<br>Draw a card.,light,common,,2,0,0,spell,genesis,0.021,0.529,0.529,-111,71,-0.017205119132996,0.5640555899999999,0.5838895655999999,0.03516315758877596
1,13,Charm,"Gain control of target enemy creature for one turn. Give it godblitz. Look at your opponent's hand, select any card and pull it into your hand.",deception,rare,,8,0,0,spell,genesis,0.022000000000000002,0.494,0.494,20,22,0.055629849433898995,3.2105514,3.3199671168,0.034080038961531674
2,46,Untold Greed,Destroy target friendly creature.<br>Draw two cards.,death,rare,,1,0,0,spell,genesis,0.22699999999999998,0.546,0.5479999999999999,39,82,0.0029053688049316003,29.61218211,30.6217455228,0.03409284088047918
3,47,Sacred Lore,Deal 1 damage to your god.<br>Add three random runes to your hand.,death,rare,,3,0,0,spell,genesis,0.013000000000000001,0.49,0.49,-14,18,0.049533843994141,1.66860309,1.7247316428,0.033638049178010304
4,49,The Black Argo,Flank.<br>Roar: Each other friendly Olympian gets +1 strength and flank.,neutral,epic,olympian,5,4,6,creature,genesis,0.0,0.508,0.508,51,2,0.04274570941925,14.40182667,14.893381475999998,0.03413142077483412
5,50,Anputian Magus,"Backline.<br>When a friendly creature dies, add a random Rune to your hand.",neutral,rare,anubian,5,2,4,creature,genesis,0.001,0.44,0.44,57,19,-0.033246695995331005,1.5905484,1.6450442351999999,0.03426229292991008
6,51,Rebirth Planetar,"At the end of your turn, add a random Aether from your void to your hand.",neutral,common,aether,7,6,7,creature,genesis,0.002,0.506,0.506,3,49,-0.024394452571868997,0.33136424999999997,0.34195185359999997,0.031951556632919806
7,52,Farsight Explorer,"Roar: Replace your hand with copies of ""Voyage to the Farlands.""",neutral,epic,,2,1,5,creature,genesis,0.0,0.40399999999999997,0.40399999999999997,-15,8,-0.2139498591423,4.8158271,4.9799506752,0.034080038961531584
8,53,Dire Demilich,Leech.<br>Roar: Give deadly to all of your creatures.,death,epic,nether,7,6,6,creature,genesis,0.004,0.475,0.475,116,10,0.16777992248535,24.38546334,25.216817374799998,0.034092197601851955
9,55,Boost Walker,Burn 1.<br>Roar: Give another Atlantean twin strike and +2/+2.,neutral,epic,atlantean,4,4,4,creature,genesis,0.001,0.447,0.447,121,8,-0.0191730260849,34.59590043,35.774324704799994,0.03406254094135725
10,56,Pharaoh's Body-Double,Roar: Trigger the afterlife of a friendly Anubian.,light,common,anubian,2,2,1,creature,genesis,0.001,0.498,0.498,-57,25,0.051069021224976,0.34020063,0.35190038519999994,0.03439075112823847
11,57,Swelling Boon,"Give a creature: ""At the end of your turn, gain +5, split randomly across strength and health.""",nature,common,,5,0,0,spell,genesis,0.013999999999999999,0.44299999999999995,0.44299999999999995,-8,41,0.019996643066406,0.57583743,0.5959203479999999,0.03487602047682095
12,58,Nullmaw,"Whenever this creature takes damage, deal 2 damage to your god.",neutral,epic,nether,5,7,6,creature,genesis,0.0,0.5379999999999999,0.5379999999999999,18,11,-0.054514110088348,6.365139060000001,6.582325294799999,0.03412120815471987
13,60,Pallbearer,Afterlife: Summon another random creature with afterlife from your void.,death,rare,anubian,3,1,1,creature,genesis,0.015,0.415,0.414,-64,20,0.015410304069519001,2.9572418399999996,3.0577026708,0.03397112452595367
14,61,Spellbound,Target two creatures.<br>They go to sleep.,deception,common,,1,0,0,spell,genesis,0.023,0.467,0.467,82,60,0.007423996925354,0.78791055,0.815052456,0.03444795351452014
15,62,Deathdealt Netherine,Roar: Destroy a creature with health 3 or less.,death,rare,nether,6,5,4,creature,genesis,0.004,0.515,0.515,-36,10,-0.009404897689819301,0.68334672,0.7071389819999999,0.034817262311583136
16,63,Uproot,Deal 8 damage to a random enemy creature.<br>Summon a 2/2 Walking Tree for your opponent.,nature,common,,2,0,0,spell,genesis,0.003,0.465,0.465,-118,27,0.010825872421264999,0.29160053999999996,0.30100092119999994,0.03223718721508532
17,64,Avatar of Light,Frontline. Protected.<br>Roar: Fully heal all other friendly creatures.,light,legendary,,7,7,7,creature,genesis,0.001,0.49,0.49,-7,3,-0.02481085062027,22.4738598,23.239769817599996,0.03408003896153148
18,65,Pickpocket,"Copy the last spell and the last creature your opponent played, and put them into your hand.",deception,common,,4,0,0,spell,genesis,0.006,0.43700000000000006,0.43700000000000006,-18,26,0.0008397102355957,0.28570962,0.295481304,0.034201452509719496
19,66,Balance Ethereals,"Roar: If a god is below 16 health, it heals for 4. If they are above 16, it is dealt 4 damage instead.",neutral,rare,aether,6,4,5,creature,genesis,0.0,0.529,0.529,46,10,0.22835969924927,0.8041105800000001,0.8316443591999999,0.03424128457556145
20,67,Golem Centurion,Afterlife: Summon a random legendary creature.,neutral,rare,atlantean,7,5,7,creature,genesis,0.002,0.461,0.461,53,5,-0.08467173576355,4.49624469,4.649632984799999,0.03411475695287374
21,68,"Petard ""Elder""",Afterlife: Deal 2 damage to a random enemy creature.,neutral,rare,,3,3,2,creature,genesis,0.0,0.35600000000000004,0.35600000000000004,10,3,0.0050163269042969,0.65683758,0.6789459671999999,0.03365883419764115
22,69,Malfunctioning Servitor,Roar: Transform another random creature into a 1/5 or 5/1 Malfunctioning Artifice.,neutral,rare,atlantean,3,3,3,creature,genesis,0.001,0.499,0.499,89,80,0.1832686662674,2.14724034,2.2196463012,0.03372047360101285
23,70,Greed Banestrider,Roar: Deal 3 damage to your god.,death,rare,nether,3,4,4,creature,genesis,0.024,0.532,0.532,159,122,0.32693326473236,4.2856442999999995,4.432318714799999,0.034224589007538414
24,71,Ragnarok,"Deal 3 damage to each god, and give burn +3 to each creature.",death,rare,,1,0,0,spell,genesis,0.26,0.539,0.541,25,97,-0.02620404958725,27.101177460000002,28.0255092912,0.034106703760907235
25,72,Scythes of the Harvest,Godblitz.<br>Roar: Give +1 strength to a random friendly creature.,war,epic,,4,4,2,weapon,genesis,0.027000000000000003,0.547,0.5479999999999999,-28,10,0.0011845827102661,61.04613123,63.12587882039999,0.03406845853284697
26,86,Read The Leaves,Foresee 2.<br>Draw a card.,magic,epic,,2,0,0,spell,genesis,0.006,0.46299999999999997,0.46299999999999997,-59,16,0.24379479885101,19.2633084,19.9198027008,0.034080038961531584
27,87,Amplification Machine,Ability: Add a random creature with a roar to your hand.,neutral,epic,atlantean,3,0,7,creature,genesis,0.002,0.462,0.462,-24,15,0.00042784214019775,11.56976688,11.963522394,0.034033141556262754
28,88,Shady Merchant,"Hidden for 1 turn.<br>At the start of your turn, add a random enchanted weapon to your hand.",deception,common,guild,3,1,3,creature,genesis,0.006,0.436,0.436,-24,23,0.0008310079574585,0.38438253,0.39675140639999995,0.03217856024830252
29,89,Lupine Elemental,Creatures damaged by this creature get burn +1.,neutral,common,,5,4,6,creature,genesis,0.0,0.369,0.369,-10,8,-0.041624128818512,0.24005499000000002,0.24901075439999998,0.03730713700223417
30,90,Synergy Golem,"Roar: If you control at least two other creatures, select two. Randomly, one gains twin strike, the other gains ""can't attack"".",neutral,epic,atlantean,3,3,4,creature,genesis,0.0,0.43700000000000006,0.43700000000000006,185,5,-0.0017149448394775,4.03086201,4.1682364307999995,0.034080655814858724
31,91,Magic Inks,Create a base copy of the lowest cost spell in your hand.,magic,rare,,2,0,0,spell,genesis,0.022000000000000002,0.456,0.456,-256,20,-0.046920835971832,5.2974098099999996,5.477939132399999,0.03407879112150455
32,92,Runic Familiar,"Whenever you cast a spell, this creature gets +1/+1.",magic,common,nether,2,2,1,creature,genesis,0.005,0.42,0.42,4,35,0.12428748607635001,0.28423689,0.293828724,0.03374591524696166
33,93,Hall of Mirrors,"Summon two 0/2 Mirrors with ""Frontline. Can't attack. Creatures that attack a Mirror become confused.""",deception,epic,,1,0,0,spell,genesis,0.004,0.441,0.441,7,5,-0.042161226272583,5.92479279,6.1270064532,0.03413008190620625
34,94,Demogorgon,"Leech.<br>At the end of your turn, deal 3 damage to a random sleeping enemy creature.<br>Roar: All other creatures go to sleep.",neutral,epic,nether,7,4,6,creature,genesis,0.031,0.53,0.532,3,25,-0.037626504898071,508.82968773,526.1702675076,0.03407933970000866
35,105,Pilgrim of the Cause,Protected.<br>Roar: Give the Chosen One protected and move it one card closer to the top of your deck.,light,rare,viking,2,1,2,creature,genesis,0.005,0.46,0.46,120,20,0.038869500160217,0.9145653300000001,0.9462012047999999,0.03459115905913452
36,106,Underbrush Boar,"Confused.<br>At the end of the turn Underbrush Boar is summoned, attack a random enemy creature.",nature,rare,wild,2,3,3,creature,genesis,0.171,0.5489999999999999,0.552,-3,71,-0.027999520301819,48.931454249999994,50.59965293639999,0.03409256299387417
37,108,Carcass Vulture,"Confused.<br>Whenever a friendly creature dies, this creature gets +1/+1.",nature,common,wild,2,1,1,creature,genesis,0.001,0.41,0.41,-85,20,0.019060730934143,0.25478229,0.2639500776,0.0359828291048015
38,109,Aegis Commander,"Frontline.<br>Roar: Delve a creature with frontline, and put it into your hand.",neutral,rare,olympian,5,3,3,creature,genesis,0.002,0.478,0.478,80,41,0.007962346076965299,1.6052757,1.6599835584,0.034080038961531674
39,110,Reinforcements,"Randomly pull two creatures from your deck, each with a mana cost of 2 or less, into your hand.",war,common,,3,0,0,spell,genesis,0.005,0.483,0.483,-158,18,0.07504463195800799,0.29454600000000003,0.30427302959999997,0.03302380477073169
40,14,Healing Insight,Give a friendly creature +2 health and fully heal it.,light,common,,1,0,0,spell,genesis,0.009000000000000001,0.467,0.467,-35,43,0.17843115329742001,0.32252787,0.333655902,0.03450254391969292
